Busca;Tempo;Vetor
Sequencial;1060000;1024
Sequencial;1849000;2048
Sequencial;3490000;4096
Sequencial;5742000;8192
Sequencial;11061000;16384
Sequencial;21473000;32768
Sequencial;44499000;65536
Sequencial;90301000;131072
Sequencial;209485000;262144
Sequencial;358398000;524288
Sequencial;703379000;1048576
Binaria;1268000;1024
Binaria;2532000;2048
Binaria;4534000;4096
Binaria;11257000;8192
Binaria;32364000;16384
Binaria;97045000;32768
Binaria;333172000;65536
Binaria;739336000;131072
Binaria;1868824000;262144
Binaria;3674503000;524288
Binaria;6985503000;1048576
